Service,Actions,Resource-level permissions,Resource-based policies,ABAC,Temporary credentials,Service-linked roles
AWS Account Management,Yes,Yes,No,No,Yes,No
AWS Activate Console,Yes,No,No,No,Yes,No
Amazon AI Operations,Yes,Yes,No,Yes,Yes,No
AWS Amplify Admin,Yes,Yes,No,No,Yes,No
AWS Amplify,Yes,Yes,No,Partial,Yes,No
AWS Amplify UI Builder,Yes,Yes,No,Yes,Yes,No
Apache Kafka APIs for Amazon MSK clusters,Yes,Yes,No,No,Yes,No
Amazon API Gateway,Yes,Yes,Yes,No,Yes,Yes
Amazon API Gateway Management,Yes,Yes,No,Yes,Yes,No
Amazon API Gateway Management V2,Yes,Yes,No,Yes,Yes,No
AWS App Studio,Yes,No,No,No,Yes,No
AWS App2Container,Yes,No,No,No,Yes,No
AWS AppConfig,Yes,Yes,No,Yes,Yes,No
AWS AppFabric,Yes,Yes,No,Yes,Yes,No
Amazon AppFlow,Yes,Yes,No,Yes,Yes,No
Amazon AppIntegrations,Yes,Yes,No,Yes,Yes,Yes
Application Auto Scaling,Yes,Yes,No,Yes,Yes,Yes
AWS Application Cost Profiler,Yes,No,No,No,Yes,No
AWS Application Discovery Arsenal,Yes,No,No,No,Yes,No
AWS Application Discovery Service,Yes,No,No,No,Yes,Yes
AWS Application Migration Service,Yes,Yes,No,Yes,Yes,Yes
Amazon Application Recovery Controller - Zonal Shift,Yes,Yes,No,No,Yes,No
AWS Application Transformation Service,Yes,No,No,No,Yes,No
AWS App Mesh,Yes,Yes,No,Yes,Yes,Yes
AWS App Mesh Preview,Yes,Yes,No,No,Yes,Yes
AWS App Runner,Yes,Yes,No,Yes,Yes,Yes
Amazon AppStream 2.0,Yes,Yes,No,Yes,Yes,No
AWS AppSync,Yes,Yes,No,Yes,Yes,No
AWS Artifact,Yes,Yes,No,No,Yes,No
Amazon Athena,Yes,Yes,No,Yes,Yes,No
AWS Audit Manager,Yes,Yes,No,Yes,Yes,Yes
Amazon Aurora DSQL,Yes,Yes,No,Yes,Yes,Yes
AWS Auto Scaling,Yes,No,No,No,Yes,Yes
AWS B2B Data Interchange,Yes,Yes,No,Yes,Yes,No
AWS Backup,Yes,Yes,Yes,Yes,Yes,Yes
AWS Backup Gateway,Yes,Yes,No,Yes,Yes,No
AWS Backup Search,Yes,Yes,No,Yes,Yes,No
AWS Backup storage,Yes,No,No,No,Yes,No
AWS Batch,Yes,Partial,No,Yes,Yes,Yes
Amazon Bedrock,Yes,Yes,No,Yes,Yes,No
AWS Billing and Cost Management,Yes,Yes,Yes,Yes,Yes,Yes
AWS Billing and Cost Management Data Exports,Yes,Yes,No,Yes,Yes,No
AWS Billing and Cost Management Pricing Calculator,Yes,Yes,No,Yes,Yes,No
AWS Billing Conductor,Yes,Yes,No,Yes,Yes,No
Amazon Braket,Yes,Yes,No,Yes,Yes,Yes
AWS Budget Service,Yes,Yes,No,No,No,No
AWS BugBust,Yes,Yes,No,Yes,Yes,Yes
AWS Certificate Manager (ACM),Yes,Yes,No,Yes,Yes,Yes
AWS Chatbot,Yes,Yes,No,No,Yes,Yes
Amazon Chime,Yes,Yes,No,Yes,Yes,Yes
AWS Clean Rooms,Yes,Yes,No,Yes,Yes,No
AWS Clean Rooms ML,Yes,Yes,No,Yes,Yes,No
AWS Client VPN,Yes,Yes,No,No,Yes,Yes
AWS Cloud9,Yes,Yes,Yes,Yes,Yes,Yes
AWS Cloud Control API,Yes,No,No,No,Yes,No
Amazon Cloud Directory,Yes,Yes,No,No,Yes,No
AWS CloudFormation,Yes,Yes,No,Yes,Yes,No
Amazon CloudFront,Yes,Yes,No,Partial,Yes,Yes
Amazon CloudFront KeyValueStore,Yes,Yes,No,No,Yes,No
AWS CloudHSM,Yes,Yes,No,Yes,Yes,Yes
AWS Cloud Map,Yes,Yes,No,Yes,Yes,No
Amazon CloudSearch,Yes,Yes,No,No,Yes,No
AWS CloudShell,Yes,Yes,No,No,Yes,No
AWS CloudTrail,Yes,Yes,Partial(Info),Yes,Yes,Yes
AWS CloudTrail Data,Yes,Yes,No,Yes,Yes,No
Amazon CloudWatch,Yes,Yes,No,Yes,Yes,Partial(Info)
